bin文件	可执行的二进制文件，任何用户都可以执行
sbin文件	只有root用户可执行

boot目录	系统启动目录，保存系统启动的相关文件，如启动引导程序

dev目录  	设备文件保存位置

etc目录	配置文件保存位置

home目录	普通用户的家目录，每个普通用户的默认登录的位置

lib目录	系统调用的函数库保存位置

lost+found	当系统意外崩溃或关机，而产生一些文件碎片将会放在这里

media目录	挂载目录，系统建议用来存储媒体设备的，例如软盘和光盘
mnt目录	挂载目录，可挂载额外的设备，如U盘，移动硬盘，其他操作系统的分区
misc目录	挂载目录，挂在其他设备	（挂载点相当于windows上的盘符、D盘、E盘）

opt目录  	第三方安装的软件保存位置。

srv目录	服务数据目录。

tmp目录	临时目录，不重要数据，可删除（该目录可用于练习）

root目录	超级用户的家目录

usr目录	系统资源目录（Unix software resource），存放系统软件资源的目录。

var目录 	动态数据保存位置，主要保存缓存、日志以及软件运行所产生的文件
